experiment_name,family_id,family_label,prompt_id,prompt_label,prompt_text,prompt_slot,negative_prompt,seed,seed_slot,denoise,cfg,steps,sampler_name,scheduler,seconds,batch_size,comfy_prefix,local_filename,comfy_prompt_id,family_order,page_audio_path
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,873534913822354,6,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn070__slot06__seed873534913822354,descriptive__descriptive-01__dn070__slot06__seed873534913822354.flac,20efc2a5-3664-44ed-af70-0901d3fb2ece,0,audit/audio/descriptive__descriptive-01__dn070__slot06__seed873534913822354.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,936466550673771,1,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot01__seed936466550673771,descriptive__descriptive-01__dn055__slot01__seed936466550673771.flac,8e6ebfa1-02ca-4253-a9f1-148ca1a60605,0,audit/audio/descriptive__descriptive-01__dn055__slot01__seed936466550673771.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,937150080021621,2,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot02__seed937150080021621,descriptive__descriptive-01__dn055__slot02__seed937150080021621.flac,0d7207e4-e5b8-4295-ba15-b8decc82de92,0,audit/audio/descriptive__descriptive-01__dn055__slot02__seed937150080021621.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,713301688808005,3,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot03__seed713301688808005,descriptive__descriptive-01__dn055__slot03__seed713301688808005.flac,5b025b60-dd04-4dab-84c6-7fe1c1734192,0,audit/audio/descriptive__descriptive-01__dn055__slot03__seed713301688808005.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,417441241092408,4,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot04__seed417441241092408,descriptive__descriptive-01__dn055__slot04__seed417441241092408.flac,7bb1d1e5-32a8-44a3-9213-7494f2aac078,0,audit/audio/descriptive__descriptive-01__dn055__slot04__seed417441241092408.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,660458076140203,5,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot05__seed660458076140203,descriptive__descriptive-01__dn055__slot05__seed660458076140203.flac,09cd6c90-fc91-4cbb-90a5-907b065e9ff4,0,audit/audio/descriptive__descriptive-01__dn055__slot05__seed660458076140203.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,873534913822354,6,0.55,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn055__slot06__seed873534913822354,descriptive__descriptive-01__dn055__slot06__seed873534913822354.flac,02b1170e-c14a-4d26-a55e-471fe589e69b,0,audit/audio/descriptive__descriptive-01__dn055__slot06__seed873534913822354.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,936466550673771,1,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot01__seed936466550673771,descriptive__descriptive-01__dn040__slot01__seed936466550673771.flac,84138230-8a16-4428-99f5-da03678ee640,0,audit/audio/descriptive__descriptive-01__dn040__slot01__seed936466550673771.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,937150080021621,2,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot02__seed937150080021621,descriptive__descriptive-01__dn040__slot02__seed937150080021621.flac,22c5c51f-993c-43a0-b916-52a7d92212ee,0,audit/audio/descriptive__descriptive-01__dn040__slot02__seed937150080021621.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,713301688808005,3,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot03__seed713301688808005,descriptive__descriptive-01__dn040__slot03__seed713301688808005.flac,d7264a9d-75de-48e2-845b-21944e0421c0,0,audit/audio/descriptive__descriptive-01__dn040__slot03__seed713301688808005.mp3
