local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,intended_prompt,actual_prompt,intended_cfg,actual_cfg,intended_steps,actual_steps,intended_denoise,actual_denoise,intended_sampler_name,actual_sampler_name,intended_scheduler,actual_scheduler,intended_seed,actual_seed,metadata_ok,matches_intended,mismatch_summary
descriptive__descriptive-01__dn070__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.7,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,660458076140203,660458076140203,True,True,
descriptive__descriptive-01__dn055__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.55,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,660458076140203,660458076140203,True,True,
descriptive__descriptive-01__dn040__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.4,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,660458076140203,660458076140203,True,True,
descriptive__descriptive-01__dn100__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,1.0,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,873534913822354,873534913822354,True,True,
descriptive__descriptive-01__dn070__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.7,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,873534913822354,873534913822354,True,True,
descriptive__descriptive-01__dn055__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.55,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,873534913822354,873534913822354,True,True,
descriptive__descriptive-01__dn040__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.4,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,873534913822354,873534913822354,True,True,
descriptive__descriptive-02__dn100__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,467779948461085,467779948461085,True,True,
descriptive__descriptive-02__dn070__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,467779948461085,467779948461085,True,True,
descriptive__descriptive-02__dn055__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,467779948461085,467779948461085,True,True,
