local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,best_matching_prompt_id,best_matching_prompt_label,best_matching_prompt_family_id,best_matching_prompt_family_label,best_matching_prompt_cosine_similarity,similarity_to_descriptive-01,similarity_to_descriptive-02,similarity_to_descriptive-03,similarity_to_descriptive-04,similarity_to_descriptive-05,similarity_to_abstract-01,similarity_to_abstract-02,similarity_to_abstract-03,similarity_to_abstract-04,similarity_to_abstract-05
descriptive__descriptive-01__dn100__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.6239566802978516,0.6239566802978516,-0.0191427581012249,0.16528235375881195,-0.08322633057832718,-0.09381316602230072,0.11135297268629074,0.009532430209219456,-0.09409146010875702,-0.08728022128343582,0.03117828257381916
descriptive__descriptive-01__dn070__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.3960167467594147,0.3960167467594147,0.026316173374652863,0.02760148048400879,-0.0037378771230578423,-0.08755108714103699,-0.07325738668441772,-0.14386503398418427,-0.15297937393188477,-0.04913943633437157,0.03588956966996193
descriptive__descriptive-01__dn055__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5950576066970825,0.5950576066970825,-0.08055862039327621,0.10631650686264038,-0.09163739532232285,-0.16077932715415955,-0.004223318304866552,-0.002167432801797986,-0.06351659446954727,-0.08774123340845108,0.029009437188506126
descriptive__descriptive-01__dn040__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5770866870880127,0.5770866870880127,-0.05988955497741699,0.10864543169736862,-0.01949894241988659,-0.1415865421295166,0.0001530880108475685,0.06167864054441452,0.023649075999855995,-0.011547486297786236,0.1839873343706131
descriptive__descriptive-01__dn100__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5395365357398987,0.5395365357398987,0.2241160124540329,0.12112527340650558,0.007907265797257423,-0.05725490674376488,-0.009380953386425972,-0.05699511244893074,0.03183802589774132,0.04841502383351326,0.11347085982561111
descriptive__descriptive-01__dn070__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5689579248428345,0.5689579248428345,0.02942214533686638,0.13227461278438568,-0.022756073623895645,-0.08869962394237518,0.07986342161893845,-0.008247628808021545,-0.013401759788393974,-0.020673315972089767,0.018703872337937355
descriptive__descriptive-01__dn055__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.600357174873352,0.600357174873352,0.0943957194685936,0.0882292166352272,0.02543853223323822,-0.1007867306470871,0.012266025878489017,-0.10670851916074753,0.014970735646784306,0.031082775443792343,0.041807662695646286
descriptive__descriptive-01__dn040__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5443384051322937,0.5443384051322937,0.009598328731954098,0.09568297117948532,0.08873476088047028,0.04475143551826477,0.13812749087810516,0.06253839284181595,0.11682040244340897,0.06520221382379532,0.259379118680954
descriptive__descriptive-01__dn100__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5354024767875671,0.5354024767875671,-0.04070199653506279,0.19329774379730225,-0.04275614395737648,-0.12761665880680084,0.06702788174152374,-0.02561795525252819,-0.0654505044221878,-0.010175625793635845,0.06620045751333237
descriptive__descriptive-01__dn070__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.3388272225856781,0.3388272225856781,-0.12489182502031326,0.041598666459321976,-0.11984897404909134,-0.2560829222202301,-0.14292189478874207,-0.1623925268650055,-0.278963178396225,-0.16439755260944366,-0.1330227106809616
descriptive__descriptive-01__dn055__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5518978834152222,0.5518978834152222,-0.1806650608778,0.10287502408027649,-0.03999974951148033,-0.15878605842590332,-0.02359488047659397,-0.01623140275478363,-0.1308443248271942,-0.0354466438293457,0.08183963596820831
descriptive__descriptive-01__dn040__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,0.4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.24868415296077728,0.24868415296077728,-0.12436522543430328,0.1208629235625267,0.019331421703100204,-0.07715434581041336,0.020506273955106735,0.16833703219890594,0.06619211286306381,-0.03862548992037773,0.0872945636510849
