family_id,family_label,prompt_id,prompt_label,prompt_text,denoise,n,mean_pairwise_cosine_distance,std_pairwise_cosine_distance,min_pairwise_cosine_distance,max_pairwise_cosine_distance,mean_pairwise_cosine_similarity
descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1.0,6,0.2581957280635834,0.06253135204315186,0.1444743275642395,0.36516326665878296,0.7418042421340942
descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",0.7,6,0.3154830038547516,0.08801453560590744,0.1417067050933838,0.4609956741333008,0.6845170259475708
descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",0.55,6,0.2918618321418762,0.06679283082485199,0.16742026805877686,0.4003887176513672,0.7081381678581238
descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",0.4,6,0.4689013659954071,0.1647360920906067,0.21874266862869263,0.7469679117202759,0.5310986042022705
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",1.0,6,0.19919894635677338,0.06102791428565979,0.1210448145866394,0.3300297260284424,0.8008010387420654
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",0.7,6,0.2608841061592102,0.08641404658555984,0.10768240690231323,0.4552786946296692,0.7391158938407898
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",0.55,6,0.23027083277702332,0.06409934908151627,0.13709789514541626,0.3317088484764099,0.7697291374206543
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",0.4,6,0.39168280363082886,0.13417711853981018,0.1976184844970703,0.6306841969490051,0.6083171963691711
descriptive,Descriptive,descriptive-03,Ambient synth loop,Ambient synth loop,1.0,6,0.3857865333557129,0.16689996421337128,0.14608299732208252,0.7276869416236877,0.6142134666442871
descriptive,Descriptive,descriptive-03,Ambient synth loop,Ambient synth loop,0.7,6,0.45304495096206665,0.1236235722899437,0.26687687635421753,0.6368185877799988,0.5469550490379333
descriptive,Descriptive,descriptive-03,Ambient synth loop,Ambient synth loop,0.55,6,0.5442668199539185,0.1677747517824173,0.1958317756652832,0.8412818908691406,0.45573318004608154
descriptive,Descriptive,descriptive-03,Ambient synth loop,Ambient synth loop,0.4,6,0.47522443532943726,0.1523875594139099,0.2370293140411377,0.7667130827903748,0.5247755646705627
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty","Cat purring, feline, kitty",1.0,6,0.187132328748703,0.1235775426030159,0.056306540966033936,0.5150871276855469,0.8128676414489746
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty","Cat purring, feline, kitty",0.7,6,0.129017636179924,0.053516935557127,0.02248203754425049,0.19646590948104858,0.8709823489189148
