denoise,n_clips,n_families,silhouette_observed,silhouette_null_mean,silhouette_null_std,silhouette_p_value,null_samples,centroid_distance_matrix_json
1.0,90,3,0.05199616402387619,-0.02708412447758019,0.005526936138282853,0.0,1000,"{""abstract"": {""abstract"": -1.1920928955078125e-07, ""descriptive"": 0.49403685331344604, ""unconditioned"": 0.06267046928405762}, ""descriptive"": {""abstract"": 0.49403685331344604, ""descriptive"": 5.960464477539063e-08, ""unconditioned"": 0.5479163825511932}, ""unconditioned"": {""abstract"": 0.06267046928405762, ""descriptive"": 0.5479163825511932, ""unconditioned"": 0.0}}"
0.7,90,3,0.03297252207994461,-0.027355797102674842,0.0055551627865124235,0.0,1000,"{""abstract"": {""abstract"": 0.0, ""descriptive"": 0.44885361194610596, ""unconditioned"": 0.07037127017974854}, ""descriptive"": {""abstract"": 0.44885361194610596, ""descriptive"": 0.0, ""unconditioned"": 0.4789494276046753}, ""unconditioned"": {""abstract"": 0.07037127017974854, ""descriptive"": 0.4789494276046753, ""unconditioned"": 5.960464477539063e-08}}"
0.55,90,3,0.020316539332270622,-0.02731991574121639,0.005485298112843272,0.0,1000,"{""abstract"": {""abstract"": 0.0, ""descriptive"": 0.3779764771461487, ""unconditioned"": 0.06413567066192627}, ""descriptive"": {""abstract"": 0.3779764771461487, ""descriptive"": 0.0, ""unconditioned"": 0.3885765075683594}, ""unconditioned"": {""abstract"": 0.06413567066192627, ""descriptive"": 0.3885765075683594, ""unconditioned"": 5.960464477539063e-08}}"
0.4,90,3,-0.013479700312018394,-0.030661561246961355,0.0069421130916406905,0.007,1000,"{""abstract"": {""abstract"": 0.0, ""descriptive"": 0.23608142137527466, ""unconditioned"": 0.04517644643783569}, ""descriptive"": {""abstract"": 0.23608142137527466, ""descriptive"": 0.0, ""unconditioned"": 0.21482956409454346}, ""unconditioned"": {""abstract"": 0.04517644643783569, ""descriptive"": 0.21482956409454346, ""unconditioned"": 0.0}}"
