family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,local_filename,pc1,pc2
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.7,descriptive__descriptive-02__dn070__slot03__seed510094380489408.flac,-0.22130398452281952,-0.2570214867591858
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.55,descriptive__descriptive-02__dn055__slot03__seed510094380489408.flac,-0.01991955004632473,-0.28913235664367676
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.4,descriptive__descriptive-02__dn040__slot03__seed510094380489408.flac,-0.13753224909305573,-0.1775704026222229
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,1.0,descriptive__descriptive-02__dn100__slot04__seed959546376485544.flac,-0.17151011526584625,-0.13638891279697418
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.7,descriptive__descriptive-02__dn070__slot04__seed959546376485544.flac,-0.32736682891845703,-0.1636117398738861
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.55,descriptive__descriptive-02__dn055__slot04__seed959546376485544.flac,-0.21431748569011688,-0.16394974291324615
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.4,descriptive__descriptive-02__dn040__slot04__seed959546376485544.flac,-0.05901443958282471,-0.15952642261981964
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,1.0,descriptive__descriptive-02__dn100__slot05__seed844919671624663.flac,-0.2762131989002228,-0.25676217675209045
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.7,descriptive__descriptive-02__dn070__slot05__seed844919671624663.flac,-0.1813792735338211,-0.23353983461856842
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.55,descriptive__descriptive-02__dn055__slot05__seed844919671624663.flac,-0.15490056574344635,-0.2512836158275604
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.4,descriptive__descriptive-02__dn040__slot05__seed844919671624663.flac,-0.17185284197330475,-0.22184757888317108
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,1.0,descriptive__descriptive-02__dn100__slot06__seed754560758249331.flac,-0.187460795044899,-0.18430832028388977
